No.,Time,Source,Destination,Protocol,Length,Info
19147,9.9634956,10.0.1.3,10.0.1.2,TCP,54,"9563  >  37767 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19148,9.9637066,10.0.1.2,10.0.1.3,TCP,74,38137  >  9568 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002313 TSecr=0 WS=128
19149,9.9638623,10.0.1.3,10.0.1.2,TCP,54,"9568  >  38137 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19150,9.9642913,10.0.1.2,10.0.1.3,TCP,74,34343  >  9567 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002314 TSecr=0 WS=128
19151,9.9644517,10.0.1.3,10.0.1.2,TCP,54,"9567  >  34343 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19152,9.9646859,10.0.1.2,10.0.1.3,TCP,74,45153  >  9570 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002314 TSecr=0 WS=128
19153,9.964821,10.0.1.3,10.0.1.2,TCP,54,"9570  >  45153 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19154,9.965085,10.0.1.2,10.0.1.3,TCP,74,45341  >  9569 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002314 TSecr=0 WS=128
19155,9.9652317,10.0.1.3,10.0.1.2,TCP,54,"9569  >  45341 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19156,9.9702612,10.0.1.2,10.0.1.3,TCP,74,46587  >  9571 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002320 TSecr=0 WS=128
19157,9.970533,10.0.1.3,10.0.1.2,TCP,54,"9571  >  46587 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19158,9.9706673,10.0.1.2,10.0.1.3,TCP,74,39279  >  9573 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002320 TSecr=0 WS=128
